,ts_code,trade_date,close,turnover_rate,volume_ratio,pe,pb,total_mv
4798,001872.SZ,20240425,18.44,0.1849,,12.9039,0.7831,4609008.673
4847,000028.SZ,20240425,35.98,1.2672,,12.5216,1.1499,2002521.147
4865,601918.SH,20240425,8.87,1.0739,,10.8934,1.6997,2297810.5766
4953,002756.SZ,20240425,45.39,1.6656,,3.872,1.9181,2446981.8901
4958,000921.SZ,20240425,35.69,1.3288,,17.4585,3.4622,4953541.3355
4993,601298.SH,20240425,8.48,0.2338,,11.1804,1.3666,5504452.8
5005,600362.SH,20240425,25.63,1.5339,,13.6431,1.3163,8874975.465
5036,002555.SZ,20240425,16.18,3.9446,,13.4979,2.824,3588504.4067
5080,601168.SH,20240425,19.91,1.409,,17.0099,2.9598,4744553.0
5083,002648.SZ,20240425,18.36,0.7105,,12.9134,2.3317,6184846.5794
5091,000807.SZ,20240425,14.35,1.2194,,12.5804,1.9342,4976518.8762
5093,600438.SH,20240425,21.25,1.1518,,3.7186,1.5361,9566694.8648
5123,603296.SH,20240425,67.7,4.1604,,18.1526,2.3043,4913678.2199
5159,000830.SZ,20240425,10.56,1.1067,,6.4137,1.2175,2023798.826
5213,002318.SZ,20240425,22.88,0.5129,,17.3605,3.2291,2235766.6074
5263,000408.SZ,20240425,28.39,0.5617,,13.1199,3.802,4486855.1722
5266,600919.SH,20240425,8.44,0.9815,,6.1012,0.7471,15488517.8468
5293,600548.SH,20240425,10.63,0.2824,,9.9612,1.2628,2318158.8565
5332,600036.SH,20240425,34.4,0.4457,,5.9178,0.937,86756268.8674
5348,002508.SZ,20240425,22.5,3.1091,,12.3229,1.9545,2135304.1125
