000756.SZ 新华制药 化学制药
000757.SZ 浩物股份 汽车服务
000758.SZ 中色股份 铅锌
000759.SZ 中百集团 超市连锁
000761.SZ 本钢板材 普钢
000762.SZ 西藏矿业 小金属
000766.SZ 通化金马 化学制药
000767.SZ 晋控电力 火力发电
000768.SZ 中航西飞 航空
000776.SZ 广发证券 证券
000777.SZ 中核科技 机械基件
000778.SZ 新兴铸管 钢加工
000779.SZ 甘咨询 建筑工程
000782.SZ 美达股份 化纤
000783.SZ 长江证券 证券
000785.SZ 居然之家 百货
000786.SZ 北新建材 其他建材
000788.SZ 北大医药 化学制药
000789.SZ 万年青 水泥
000790.SZ 华神科技 中成药
000791.SZ 甘肃能源 水力发电
000792.SZ 盐湖股份 农药化肥
000793.SZ 华闻集团 出版业
000795.SZ 英洛华 矿物制品
000796.SZ *ST凯撒 旅游服务
000797.SZ 中国武夷 全国地产
000798.SZ 中水渔业 渔业
000799.SZ 酒鬼酒 白酒
000800.SZ 一汽解放 汽车整车
000801.SZ 四川九洲 家用电器
000802.SZ 北京文化 影视音像
000803.SZ 山高环能 环境保护
000807.SZ 云铝股份 铝
000809.SZ *ST新城 区域地产
000810.SZ 创维数字 家用电器
000811.SZ 冰轮环境 工程机械
OK 0.3459054849356043 0.5736694340756258 0.27473835816195186 13.4624
000812.SZ 陕西金叶 广告包装
000813.SZ 德展健康 化学制药
000815.SZ 美利云 造纸
000816.SZ 智慧农业 农用机械
000818.SZ 航锦科技 化工原料
000819.SZ 岳阳兴长 石油加工
000820.SZ 神雾节能 环境保护
000821.SZ 京山轻机 电气设备
000822.SZ 山东海化 化工原料
000823.SZ 超声电子 元器件
000825.SZ 太钢不锈 特种钢
000826.SZ 启迪环境 环境保护
000828.SZ 东莞控股 路桥
000829.SZ 天音控股 其他商业
000830.SZ 鲁西化工 农药化肥
000831.SZ 中国稀土 小金属
000833.SZ 粤桂股份 综合类
000836.SZ ST富通 通信设备
000837.SZ 秦川机床 机床制造
000838.SZ 财信发展 区域地产
000839.SZ ST国安 综合类
000848.SZ 承德露露 软饮料
000850.SZ 华茂股份 纺织
000851.SZ ST高鸿 通信设备
000852.SZ 石化机械 化工机械
000856.SZ 冀东装备 专用机械
000858.SZ 五粮液 白酒
OK 0.1413113790006919 0.12692404156376988 0.11665948171119926 19.8419
000859.SZ 国风新材 塑料
000860.SZ 顺鑫农业 白酒
000861.SZ 海印股份 其他商业
000862.SZ 银星能源 新型电力
000863.SZ 三湘印象 区域地产
000868.SZ 安凯客车 汽车整车
000869.SZ 张裕A 红黄酒
000875.SZ 吉电股份 火力发电
OK 0.503354333879174 0.32400411217051295 0.18337336004845756 16.064
000876.SZ 新希望 饲料
000877.SZ 天山股份 水泥
000878.SZ 云南铜业 铜
000880.SZ 潍柴重机 专用机械
000881.SZ 中广核技 综合类
000882.SZ 华联股份 其他商业
000883.SZ 湖北能源 火力发电
000885.SZ 城发环境 环境保护
000886.SZ 海南高速 区域地产
000887.SZ 中鼎股份 汽车配件
000888.SZ 峨眉山A 旅游景点
000889.SZ ST中嘉 通信设备
000890.SZ 法尔胜 环境保护
000892.SZ 欢瑞世纪 影视音像
000893.SZ 亚钾国际 农药化肥
000895.SZ 双汇发展 食品
000897.SZ 津滨发展 区域地产
000898.SZ 鞍钢股份 普钢
000899.SZ 赣能股份 火力发电
000900.SZ 现代投资 路桥
000901.SZ 航天科技 汽车配件
000902.SZ 新洋丰 农药化肥
000903.SZ 云内动力 汽车配件
000905.SZ 厦门港务 港口
000906.SZ 浙商中拓 仓储物流
000908.SZ *ST景峰 化学制药
000909.SZ ST数源 综合类
000910.SZ 大亚圣象 家居用品
000911.SZ 广农糖业 食品
000912.SZ 泸天化 农药化肥
000913.SZ 钱江摩托 摩托车
000915.SZ 华特达因 化学制药
000917.SZ 电广传媒 影视音像
000919.SZ 金陵药业 化学制药
000920.SZ 沃顿科技 环境保护
000921.SZ 海信家电 家用电器
000922.SZ 佳电股份 电气设备
OK 0.645376898801639 0.25961099774896074 0.1877310306827634 19.1417
000923.SZ 河钢资源 普钢
000925.SZ 众合科技 运输设备
000926.SZ 福星股份 区域地产
000927.SZ 中国铁物 仓储物流
000928.SZ 中钢国际 建筑工程
000929.SZ 兰州黄河 啤酒
000930.SZ 中粮科技 农业综合
000931.SZ 中关村 化学制药
000932.SZ 华菱钢铁 普钢
000933.SZ 神火股份 铝
000935.SZ 四川双马 水泥
000936.SZ 华西股份 化纤
000937.SZ 冀中能源 煤炭开采
000938.SZ 紫光股份 软件服务
000948.SZ 南天信息 软件服务
000949.SZ 新乡化纤 化纤
000950.SZ 重药控股 医药商业
000951.SZ 中国重汽 汽车整车
000952.SZ 广济药业 化学制药
000953.SZ 河化股份 化学制药
000955.SZ 欣龙控股 纺织
000957.SZ 中通客车 汽车整车
000958.SZ 电投产融 多元金融
000959.SZ 首钢股份 普钢
000960.SZ 锡业股份 小金属
000961.SZ ST中南 全国地产
000962.SZ 东方钽业 小金属
000963.SZ 华东医药 化学制药
000965.SZ 天保基建 区域地产
000966.SZ 长源电力 火力发电
000967.SZ 盈峰环境 环境保护
000968.SZ 蓝焰控股 石油开采
000969.SZ 安泰科技 小金属
000970.SZ 中科三环 矿物制品
000971.SZ *ST高升 互联网
000972.SZ 中基健康 食品
000973.SZ 佛塑科技 塑料
000975.SZ 银泰黄金 黄金
000976.SZ ST华铁 运输设备
000977.SZ 浪潮信息 IT设备
000978.SZ 桂林旅游 旅游景点
000980.SZ 众泰汽车 汽车配件
000981.SZ 山子高科 汽车配件
000982.SZ 中银绒业 电气设备
000983.SZ 山西焦煤 煤炭开采
000985.SZ 大庆华科 化工原料
000987.SZ 越秀资本 多元金融
000988.SZ 华工科技 专用机械
000989.SZ ST九芝 中成药
000990.SZ 诚志股份 化工原料
000993.SZ 闽东电力 水力发电
000995.SZ 皇台酒业 白酒
000996.SZ *ST中期 汽车服务
000997.SZ 新大陆 IT设备
000998.SZ 隆平高科 种植业
000999.SZ 华润三九 中成药
001201.SZ 东瑞股份 农业综合
001202.SZ 炬申股份 仓储物流
001203.SZ 大中矿业 普钢
001205.SZ 盛航股份 水运
OK 0.32959786995674994 0.1496021246958814 0.31544016562348665 17.7216
001206.SZ 依依股份 造纸
001207.SZ 联科科技 化工原料
001208.SZ 华菱线缆 电气设备
001209.SZ 洪兴股份 服饰
001210.SZ 金房能源 供气供热
001211.SZ 双枪科技 家居用品
001212.SZ 中旗新材 其他建材
001213.SZ 中铁特货 仓储物流
001215.SZ 千味央厨 食品
001216.SZ 华瓷股份 家居用品
001217.SZ 华尔泰 化工原料
001218.SZ 丽臣实业 化工原料
001219.SZ 青岛食品 食品
001222.SZ 源飞宠物 文教休闲
001223.SZ 欧克科技 专用机械
001225.SZ 和泰机电 专用机械
001226.SZ 拓山重工 工程机械
001227.SZ 兰州银行 银行
001228.SZ 永泰运 仓储物流
001229.SZ 魅视科技 IT设备
001230.SZ 劲旅环境 环境保护
001231.SZ 农心科技 农药化肥
001234.SZ 泰慕士 服饰
001236.SZ 弘业期货 多元金融
001238.SZ 浙江正特 家居用品
001239.SZ 永达股份 工程机械
001255.SZ 博菲电气 化工原料
001256.SZ 炜冈科技 轻工机械
001258.SZ 立新能源 新型电力
001259.SZ 利仁科技 家用电器
001260.SZ 坤泰股份 汽车配件
001266.SZ 宏英智能 电器仪表
001267.SZ 汇绿生态 建筑工程
001268.SZ 联合精密 机械基件
001269.SZ 欧晶科技 矿物制品
001270.SZ 铖昌科技 半导体
001278.SZ 一彬科技 汽车配件
001282.SZ 三联锻造 汽车配件
001283.SZ 豪鹏科技 电气设备
001286.SZ 陕西能源 火力发电
001287.SZ 中电港 元器件
001288.SZ 运机集团 专用机械
001289.SZ 龙源电力 新型电力
001296.SZ 长江材料 其他建材
001298.SZ 好上好 元器件
001299.SZ 美能能源 供气供热
001300.SZ 三柏硕 文教休闲
001301.SZ 尚太科技 电气设备
001306.SZ 夏厦精密 机械基件
001308.SZ 康冠科技 元器件
001309.SZ 德明利 半导体
001311.SZ 多利科技 汽车配件
001313.SZ 粤海饲料 饲料
001314.SZ 亿道信息 元器件
001316.SZ 润贝航科 批发业
001317.SZ 三羊马 仓储物流
001318.SZ 阳光乳业 乳制品
001319.SZ 铭科精技 汽车配件
001322.SZ 箭牌家居 家居用品
001323.SZ 慕思股份 家居用品
